,City,Pop2019,Pop2010,Pop%<5,Pop%<18,Pop%<64,PopFemale,MedValHm,MedRent,%WComputer,%WInternet,%HSGrad+,%inLabForce,%FinLabForce,A&FSales1K,RSales1K,MedHInc,PerCapInc,Poverty%,PopSqMile,LandAreaSqM,FIPSCode,Lat,Lng
0,St. Louis,300576,319289,6.4,19.4,13.1,51.6,138700,828,85.1,74.4,87.8,65.9,64.5,1255664,2471933,43896,30542,21.8,5157.5,61.91,"""2965000""",38.6270025,-90.1994042
1,Austin,978908,801829,6.4,20.4,8.9,49.2,337400,1280,94.9,87.5,89.4,73.8,67.4,3474670,14738182,71576,43043,13.2,2653.2,297.9,"""4805000""",30.267153,-97.7430608
2,Kansas City,495327,459902,6.8,23.1,12.9,51.5,154600,941,89.8,81.3,90,69,65.1,1630048,7537341,54194,32348,16.1,1459.9,314.95,"""2938000""",39.0997265,-94.5785667
3,Lexington,18933,18944,8.5,24.9,16.4,50.4,104200,704,82,69.7,74.9,52.8,46.3,70445,547854,29938,16954,27,1053,17.98,"""3738060""",35.8240265,-80.2533838
4,Memphis,651073,651873,7.6,25,12.8,52.7,101800,901,80.6,69.5,85.7,63.3,60.8,1503947,18848867,41228,25605,25.1,2053.3,315.06,"""4748000""",35.1495343,-90.0489801
5,Lockhart,14133,12690,3.7,21.4,15.4,54.2,141000,977,88.2,71.7,79.6,52.8,44.7,27701,152660,55644,23346,14.6,815.3,15.58,"""4843240""",29.8849441,-97.6699996
6,Brooklyn,8336817,8175031,6.5,20.8,14.5,52.3,606000,1443,89.1,81.5,82.2,63.6,58.8,27452861,92265000,63998,39828,17.9,27012.5,302.64,"""3651000""",40.6781784,-73.9441579
7,Atlanta,506811,427059,5.4,18.3,11.5,51.5,290400,1153,90.1,81.1,90.9,65.6,63.4,3023387,6088296,59948,47424,20.8,3154.3,133.15,"""1304000""",33.7489954,-84.3879824
8,Nashville,670820,603438,6.8,21,11.7,51.8,239000,1100,92.4,84.9,88.8,71.6,67.1,2455123,9527759,59828,35243,15.1,1265.4,475.13,"""4752006""",36.1626638,-86.7816016
9,Dallas,1343573,1197658,7.5,25,10.3,50.6,188100,1052,87.2,76.6,77.5,68.5,61.2,3851458,16889012,52580,34479,18.9,3517.6,340.52,"""4819000""",32.7766642,-96.7969879
