Name,BizID,City,State,Zip,ReviewID,Rating,
Chisholm Trail Bar-B-Q,10192811,Lockhart,TX,78644,ip_10302946967,8,8.25
Chisholm Trail Bar-B-Q,10192811,Lockhart,TX,78644,ip_9355790545,10,
Chisholm Trail Bar-B-Q,10192811,Lockhart,TX,78644,ip_10313848476,10,
Black's Barbecue,10192700,Lockhart,TX,78644,mism_153833,8,
Kreuz Market,10192699,Lockhart,TX,78644,ip_10303211111,8,
Black's Barbecue,10192700,Lockhart,TX,78644,ip_10301171127,10,
Black's Barbecue,10192700,Lockhart,TX,78644,ip_10301427703,4,
Smitty's Market,34319141,Lockhart,TX,78644,ip_10303211109,8,
The BBQ Shop,9444279,Memphis,TN,38104,ip_10301036181,10,
The BBQ Shop,9444279,Memphis,TN,38104,ip_9332560545,8,
Charlie Vergos' Rendezvous,9441052,Memphis,TN,38103,ip_10300192143,10,
Charlie Vergos' Rendezvous,9441052,Memphis,TN,38103,ip_10300303198,10,
Charlie Vergos' Rendezvous,9441052,Memphis,TN,38103,ip_10300304595,10,
Charlie Vergos' Rendezvous,9441052,Memphis,TN,38103,ip_10304850031,10,
Central BBQ,35764012,Memphis,TN,38104,ip_5531100545,10,
Central BBQ,35764012,Memphis,TN,38104,ip_9332650545,6,
Blue City Cafe,9441069,Memphis,TN,38103,mism_132564,8,
Blue City Cafe,9441069,Memphis,TN,38103,mism_151951,6,
Buffalo Wild Wings,44309416,Memphis,TN,38125,mism_64967,2,
Tops Bar-B-Q,9453286,Memphis,TN,38115,ip_5232240545,10,
D'bo's Buffalo Wings-N-Things,9470720,Memphis,TN,38134,ip_10300421191,8,
Charlie Vergos' Rendezvous,9441052,Memphis,TN,38103,judy_923121568,6,
Texas de Brazil,37474718,Memphis,TN,38103,mism_124931,10,
Marlowe's Ribs & Restaurant,9456256,Memphis,TN,38116,mism_82434,8,
Neely's Bar-B-Que Restaurant,9446000,Memphis,TN,38105,mism_81684,6,
Neely's Bar-B-Que Restaurant,9446000,Memphis,TN,38105,mism_92309,6,
Big Bill Bbq,606953620,Memphis,TN,38128,ip_10305156799,8,
Tops Bar-B-Q,9452152,Memphis,TN,38114,ip_5736120545,10,
