Fact,Fact Note,"Kansas City city, Missouri","Value Note for Kansas City city, Missouri","Austin city, Texas","Value Note for Austin city, Texas","Memphis city, Tennessee","Value Note for Memphis city, Tennessee","Charlotte city, North Carolina","Value Note for Charlotte city, North Carolina","New York city, New York","Value Note for New York city, New York",United States,Value Note for United States
"Population estimates, July 1, 2019,  (V2019)",,495327,,978908,,651073,,885708,,8336817,,328239523,
"Population estimates base, April 1, 2010,  (V2019)",,459902,,801829,,651873,,735607,,8175031,,308758105,
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)",,0.077,,0.221,,-0.001,,0.204,,0.02,,0.063,
"Population, Census, April 1, 2010",,459787,,790390,,646889,,731424,,8175133,,308745538,
"Persons under 5 years, percent",,0.068,,0.064,,0.076,,0.068,,0.065,,0.06,
"Persons under 18 years, percent",,0.231,,0.204,,0.25,,0.237,,0.208,,0.223,
"Persons 65 years and over, percent",,0.129,,0.089,,0.128,,0.102,,0.145,,0.165,
"Female persons, percent",,0.515,,0.492,,0.527,,0.519,,0.523,,0.508,
"White alone, percent",,0.609,,0.726,,0.292,,0.488,,0.427,,0.763,
"Black or African American alone, percent",(a),0.282,,0.078,,0.641,,0.352,,0.243,,0.134,
"American Indian and Alaska Native alone, percent",(a),0.004,,0.007,,0.002,,0.004,,0.004,,0.013,
"Asian alone, percent",(a),0.027,,0.076,,0.017,,0.065,,0.141,,0.059,
"Native Hawaiian and Other Pacific Islander alone, percent",(a),0.002,,0.001,,0,,0.001,,0.001,,0.002,
"Two or More Races, percent",,0.036,,0.035,,0.015,,0.028,,0.036,,0.028,
"Hispanic or Latino, percent",(b),0.106,,0.339,,0.072,,0.143,,0.291,,0.185,
"White alone, not Hispanic or Latino, percent",,0.552,,0.483,,0.257,,0.415,,0.321,,0.601,
"Veterans, 2015-2019",,25119,,36094,,30720,,35825,,150924,,18230322,
"Foreign born persons, percent, 2015-2019",,0.082,,0.188,,0.062,,0.167,,0.368,,0.136,
"Housing units,  July 1, 2019,  (V2019)",,X,,X,,X,,X,,X,,139684244,
"Owner-occupied housing unit rate, 2015-2019",,0.533,,0.451,,0.466,,0.529,,0.327,,0.64,
"Median value of owner-occupied housing units, 2015-2019",,154600,,337400,,101800,,220300,,606000,,217500,
