,Name,BizID,City,State,Zip,ReviewID,Rating
0,Chisholm Trail Bar-B-Q,10192811,Lockhart,TX,78644,ip_10302946967,8
1,Chisholm Trail Bar-B-Q,10192811,Lockhart,TX,78644,ip_9355790545,10
2,Chisholm Trail Bar-B-Q,10192811,Lockhart,TX,78644,ip_10313848476,10
3,Kreuz Market,10192699,Lockhart,TX,78644,gayot_91032be1f6c1a46f4c64a8443c4ff150,
4,Black's Barbecue,10192700,Lockhart,TX,78644,mism_153833,8
5,Chisholm Trail Bar-B-Q,10192811,Lockhart,TX,78644,gayot_d466e3bf764ebfb17fbab076f6e1dc10,
6,Kreuz Market,10192699,Lockhart,TX,78644,ip_10303211111,8
7,Black's Barbecue,10192700,Lockhart,TX,78644,ip_10301171127,10
8,Black's Barbecue,10192700,Lockhart,TX,78644,ip_10301427703,4
9,Smitty's Market,34319141,Lockhart,TX,78644,gayot_36cdce7494dccff7d5d0d6eb47ed4c38,
10,Smitty's Market,34319141,Lockhart,TX,78644,ip_10303211109,8
11,Black's Barbecue,10192700,Lockhart,TX,78644,gayot_59a9424c03d50d4b980010969e933634,
50,Chili's Grill & Bar,42016968,Cordova,TN,38016,judy_-1600948853,10
51,Chili's Grill & Bar,42016968,Cordova,TN,38016,judy_404371482,8
52,Chili's Grill & Bar,42016968,Cordova,TN,38016,judy_927929928,8
53,Corky's Bar-B-Q,9434518,Cordova,TN,38016,ip_10306478300,10
54,Corky's Bar-B-Q,9434518,Cordova,TN,38016,ip_10308780415,2
55,The BBQ Shop,9444279,Memphis,TN,38104,ip_10301036181,10
56,The BBQ Shop,9444279,Memphis,TN,38104,ip_9332560545,8
57,Charlie Vergos' Rendezvous,9441052,Memphis,TN,38103,ip_10300192143,10
58,Charlie Vergos' Rendezvous,9441052,Memphis,TN,38103,ip_10300303198,10
59,Charlie Vergos' Rendezvous,9441052,Memphis,TN,38103,ip_10300304595,10
60,Charlie Vergos' Rendezvous,9441052,Memphis,TN,38103,ip_10304850031,10
61,Corky's Bar-B-Q,9434518,Cordova,TN,38016,ip_10300644978,8
62,Central BBQ,35764012,Memphis,TN,38104,ip_5531100545,10
63,Central BBQ,35764012,Memphis,TN,38104,ip_9332650545,6
64,Blue City Cafe,9441069,Memphis,TN,38103,mism_132564,8
65,Blue City Cafe,9441069,Memphis,TN,38103,mism_151951,6
66,Buffalo Wild Wings,44309416,Memphis,TN,38125,mism_64967,2
67,Tops Bar-B-Q,9453286,Memphis,TN,38115,ip_5232240545,10
68,D'bo's Buffalo Wings-N-Things,9470720,Memphis,TN,38134,ip_10300421191,8
69,Charlie Vergos' Rendezvous,9441052,Memphis,TN,38103,judy_923121568,6
70,Texas de Brazil,37474718,Memphis,TN,38103,kidscore_82922,
71,Texas de Brazil,37474718,Memphis,TN,38103,mism_124931,10
72,Butcher Shop Steakhouse,9434529,Cordova,TN,38018,gayot_847cb954fb5c877283f54eb3a25ba9cc,
73,Marlowe's Ribs & Restaurant,9456256,Memphis,TN,38116,mism_82434,8
74,Texas de Brazil,37474718,Memphis,TN,38103,gayot_9fe520bb029b41d3101aba1c639769c4,
75,Neely's Bar-B-Que Restaurant,9446000,Memphis,TN,38105,mism_81684,6
76,Neely's Bar-B-Que Restaurant,9446000,Memphis,TN,38105,mism_92309,6
77,Jim 'N Nick's Bar-B-Q,45369194,Cordova,TN,38016,ip_10305253274,2
78,Big Bill Bbq,606953620,Memphis,TN,38128,ip_10305156799,8
79,Corky's Bar-B-Q,9434518,Cordova,TN,38016,mism_137130,2
80,Tops Bar-B-Q,9452152,Memphis,TN,38114,ip_5736120545,10
81,Blue City Cafe,9441069,Memphis,TN,38103,ip_10300197471,8
82,Blue City Cafe,9441069,Memphis,TN,38103,ip_10300195751,8
83,Blue City Cafe,9441069,Memphis,TN,38103,ip_10300462631,10
84,Blue City Cafe,9441069,Memphis,TN,38103,ip_10300468622,10
85,Corky's,9461809,Memphis,TN,38119,gayot_4862c43ce3c5dae3477a596cdb25249b,
86,Texas de Brazil,37474718,Memphis,TN,38103,judy_-409678500,8
87,Texas de Brazil,37474718,Memphis,TN,38103,judy_1015128637,2
88,Texas de Brazil,37474718,Memphis,TN,38103,judy_854256441,10
89,Cozy Corner Restaurant,9446009,Memphis,TN,38105,ip_10137280545,6
90,Cozy Corner Restaurant,9446009,Memphis,TN,38105,ip_10303265463,8
91,Central BBQ,35764012,Memphis,TN,38104,gayot_498893054d1445855bc75c47a20e3e72,
92,Texas de Brazil,37474718,Memphis,TN,38103,ip_10299958359,10
93,Texas de Brazil,37474718,Memphis,TN,38103,ip_10300196625,8
94,Texas de Brazil,37474718,Memphis,TN,38103,ip_10300197527,10
95,Texas de Brazil,37474718,Memphis,TN,38103,ip_10300198812,10
96,Cozy Corner Restaurant,9446009,Memphis,TN,38105,gayot_a6006b17a1d6ea07f73adeadd964c5ff,
